year,exposure
1979,41.72203932339312
1980,46.21611662678982
1981,44.233136225704094
1982,43.002460681890454
1983,49.55038957191932
1984,43.40218751054702
1985,43.65877680812301
1986,43.50313073864129
1987,47.44900167331801
1988,52.720655011938405
1989,44.09539268775943
1990,51.17140772516341
1991,48.87258557220329
1992,48.17010741955255
1993,44.10961838231201
1994,54.88089814254348
1995,52.7939908936493
1996,47.95830949911702
1997,50.486203630752975
1998,51.96599392683695
1999,51.41606160675902
2000,52.33465438328818
2001,53.86076352784068
2002,55.39774708076394
2003,53.632823845389254
2004,52.26586187208663
2005,55.976184260349115
2006,57.523758000123806
2007,58.45877995931631
2008,51.67887477751983
2009,52.82307426307264
2010,59.58615755416797
2011,55.794732638350055
2012,60.271942922247575
2013,57.22290288408926
2014,55.49355837804727
2015,62.137209753586575
2016,57.3669509861009
2017,59.728384298322005
2018,61.569751997705154
2019,65.23908379283878
2020,60.437661335393464
2021,60.01108271389917
