ref_area,country,time_period,gdp
AFG,Afghanistan,2021,372.548874780042
AFG,Afghanistan,2020,516.866542963081
AFG,Afghanistan,2019,500.522664150507
AFG,Afghanistan,2018,502.056770632776
AFG,Afghanistan,2017,530.149830789956
ALB,Albania,2021,6396.46181225342
ALB,Albania,2020,5278.22228193746
ALB,Albania,2019,5359.23907835741
ALB,Albania,2018,5268.11660839028
ALB,Albania,2017,4521.7522173139
DZA,Algeria,2021,3700.32405783434
DZA,Algeria,2020,3354.15316371593
DZA,Algeria,2019,4021.98325481973
DZA,Algeria,2018,4171.79539218679
DZA,Algeria,2017,4134.93605517078
AND,Andorra,2021,42066.0415696858
AND,Andorra,2020,37207.1756359621
AND,Andorra,2019,41328.6340793287
AND,Andorra,2018,42904.8225832496
AND,Andorra,2017,40632.2064162596
AGO,Angola,2021,2044.2182115247
AGO,Angola,2020,1639.95103612302
AGO,Angola,2019,2569.62979126205
AGO,Angola,2018,3240.86222212994
AGO,Angola,2017,4042.68140306353
AIA,Anguilla,2021,19216.3279892601
AIA,Anguilla,2020,16582.6590144845
AIA,Anguilla,2019,24494.7743582334
AIA,Anguilla,2018,21240.732201802
AIA,Anguilla,2017,18718.3187183187
ATG,Antigua and Barbuda,2021,15245.8189854
ATG,Antigua and Barbuda,2020,14788.3951896298
ATG,Antigua and Barbuda,2019,18319.4560540762
ATG,Antigua and Barbuda,2018,17527.1696291931
ATG,Antigua and Barbuda,2017,16110.5562811025
ARG,Argentina,2021,10761.0816269643
ARG,Argentina,2020,8560.709940339
ARG,Argentina,2019,10006.6931106198
ARG,Argentina,2018,11816.6495369855
ARG,Argentina,2017,14609.7833696004
ARM,Armenia,2021,4966.51667567882
ARM,Armenia,2020,4505.86774552638
ARM,Armenia,2019,4828.50488860645
ARM,Armenia,2018,4391.92327364082
ARM,Armenia,2017,4041.99507231389
ABW,Aruba,2021,29342.1008558781
ABW,Aruba,2020,24487.8635589451
ABW,Aruba,2019,31650.7605369368
ABW,Aruba,2018,30220.1727424367
ABW,Aruba,2017,29329.0923434191
AUS,Australia,2021,66915.8592008469
AUS,Australia,2020,55774.1582890132
AUS,Australia,2019,54267.0881988172
AUS,Australia,2018,58225.1616873622
AUS,Australia,2017,57430.8037879349
AUT,Austria,2021,53840.3932953502
AUT,Austria,2020,48859.0181366728
AUT,Austria,2019,50070.2905763494
AUT,Austria,2018,51466.6031367299
AUT,Austria,2017,47429.5358412186
AZE,Azerbaijan,2021,5296.44321168757
AZE,Azerbaijan,2020,4151.01637334004
AZE,Azerbaijan,2019,4707.84697863006
AZE,Azerbaijan,2018,4640.470544109
AZE,Azerbaijan,2017,4057.62400705287
BHS,Bahamas,2021,27478.3896289831
BHS,Bahamas,2020,23862.7355949133
BHS,Bahamas,2019,32610.4850490784
BHS,Bahamas,2018,31738.2671569969
BHS,Bahamas,2017,30969.8761966819
BHR,Bahrain,2021,26562.9740428193
BHR,Bahrain,2020,23501.9151426052
BHR,Bahrain,2019,25869.2061820926
BHR,Bahrain,2018,25415.7500653029
BHR,Bahrain,2017,24349.8368467279
BGD,Bangladesh,2021,2449.90651676298
BGD,Bangladesh,2020,2231.27163368507
BGD,Bangladesh,2019,2111.4167932545
BGD,Bangladesh,2018,1931.80558965614
BGD,Bangladesh,2017,1785.96290278843
BRB,Barbados,2021,17225.4623044097
BRB,Barbados,2020,16643.8065787177
BRB,Barbados,2019,19002.9623813263
BRB,Barbados,2018,18224.8880895855
BRB,Barbados,2017,17843.1964955388
BLR,Belarus,2021,7121.00468882456
BLR,Belarus,2020,6370.49250092413
BLR,Belarus,2019,6658.08998937656
BLR,Belarus,2018,6191.59174029738
BLR,Belarus,2017,5637.21856500439
BEL,Belgium,2021,51165.510222267
BEL,Belgium,2020,45426.8004183642
BEL,Belgium,2019,46551.2107434748
BEL,Belgium,2018,47455.5233195778
BEL,Belgium,2017,44162.256255538
BLZ,Belize,2021,6228.70085318388
BLZ,Belize,2020,5267.28089162136
BLZ,Belize,2019,6210.95294465362
BLZ,Belize,2018,6059.2410787665
BLZ,Belize,2017,6101.58594903027
BEN,Benin,2021,1360.91147421792
BEN,Benin,2020,1240.73315537007
BEN,Benin,2019,1170.96553298758
BEN,Benin,2018,1194.43821427546
BEN,Benin,2017,1095.27445905216
BMU,Bermuda,2021,112652.646350393
BMU,Bermuda,2020,107473.879839453
BMU,Bermuda,2019,116333.385570112
BMU,Bermuda,2018,113667.773041167
BMU,Bermuda,2017,112877.376531015
BTN,Bhutan,2021,3062.91497537619
BTN,Bhutan,2020,2997.3066074334
BTN,Bhutan,2019,3303.97973622725
BTN,Bhutan,2018,3210.70775543512
BTN,Bhutan,2017,3240.70660157786
BOL,Bolivia (Plurinational State of),2021,3345.19658874328
BOL,Bolivia (Plurinational State of),2020,3068.81255507969
BOL,Bolivia (Plurinational State of),2019,3472.38083076232
BOL,Bolivia (Plurinational State of),2018,3471.0069506501
BOL,Bolivia (Plurinational State of),2017,3280.01179026962
BIH,Bosnia and Herzegovina,2021,7143.28396260018
BIH,Bosnia and Herzegovina,2020,6012.16607969962
BIH,Bosnia and Herzegovina,2019,6011.41726088556
BIH,Bosnia and Herzegovina,2018,5936.15365506952
BIH,Bosnia and Herzegovina,2017,5255.95028022569
BWA,Botswana,2021,6805.24771262702
BWA,Botswana,2020,5863.18204977931
BWA,Botswana,2019,6679.1868667813
BWA,Botswana,2018,6947.81805310512
BWA,Botswana,2017,6705.33980183834
BRA,Brazil,2021,7507.16024556456
BRA,Brazil,2020,6794.51585251428
BRA,Brazil,2019,8883.90309224184
BRA,Brazil,2018,9121.02009249958
BRA,Brazil,2017,9896.7175109967
,British Virgin Islands,2021,49443.8688708952
,British Virgin Islands,2020,48272.9635716597
,British Virgin Islands,2019,47005.648186867
,British Virgin Islands,2018,45553.6508983023
,British Virgin Islands,2017,43472.0558882236
BRN,Brunei Darussalam,2021,31448.9136081385
BRN,Brunei Darussalam,2020,27179.2823986381
BRN,Brunei Darussalam,2019,30748.3422785149
BRN,Brunei Darussalam,2018,31240.4444480996
BRN,Brunei Darussalam,2017,28186.9465313442
BGR,Bulgaria,2021,12207.2577149813
BGR,Bulgaria,2020,10064.0720685003
BGR,Bulgaria,2019,9771.55610502572
BGR,Bulgaria,2018,9323.85292617087
BGR,Bulgaria,2017,8242.45577091262
BFA,Burkina Faso,2021,893.07719598646
BFA,Burkina Faso,2020,833.244336102605
BFA,Burkina Faso,2019,772.166877547463
BFA,Burkina Faso,2018,779.202768060739
BFA,Burkina Faso,2017,711.184630760361
BDI,Burundi,2021,310.706844274277
BDI,Burundi,2020,295.831964395867
BDI,Burundi,2019,283.669869987216
BDI,Burundi,2018,288.62639371465
BDI,Burundi,2017,295.620936297451
CPV,Cabo Verde,2021,3293.23332217177
CPV,Cabo Verde,2020,2924.10051478724
CPV,Cabo Verde,2019,3434.56349097817
CPV,Cabo Verde,2018,3442.74278075722
CPV,Cabo Verde,2017,3132.62058801454
